timestamp,rpm,velocidad,temp_motor,carga_motor,acelerador,temp_admision,combustible,voltaje,presion_colector
2025-06-06 15:36:46.183,4356.0,0,0,0,0,12,0,0,0
2025-06-06 15:36:46.914,4356.0,0,-37,0,20.4,12,0,0,0
2025-06-06 15:36:47.859,0,68,-37,0,20.4,12,0,13.33,0
2025-06-06 15:36:48.354,208.25,68,0,0,0,12,0,13.33,0
2025-06-06 15:36:48.650,0,68,0,20.4,1.2,12,0,13.33,0
2025-06-06 15:36:49.276,272.25,0,0,0,20.4,12,0,13.33,55
2025-06-06 15:36:49.523,4356.0,0,0,1.2,0,12,0,13.33,55
2025-06-06 15:36:51.264,4356.0,3,0,20.4,20.4,12,0,13.33,55
2025-06-06 15:36:53.424,3332.0,0,0,20.4,20.4,12,0,13.33,4
2025-06-06 15:36:54.864,3332.0,0,0,20.4,0,12,0,13.33,0
2025-06-06 15:36:55.878,3332.0,0,28,0,20.4,12,0,13.33,0
2025-06-06 15:36:56.538,0,52,0,0,20.4,12,0,13.33,0
2025-06-06 15:36:57.045,208.25,52,-36,1.2,0,12,0,13.33,0
2025-06-06 15:36:58.258,0,0,28,1.2,1.2,12,0,13.33,52
2025-06-06 15:36:58.865,208.25,68,0,20.4,1.2,12,0,13.33,52
2025-06-06 15:36:59.225,272.25,0,0,0,20.4,0,0,0,55
2025-06-06 15:36:59.663,4356.0,0,0,0,0,0,0,0,55
2025-06-06 15:37:00.095,4356.0,0,0,0,0,0,0,0,55
2025-06-06 15:37:00.504,4356.0,0,0,0,0,0,0,0,55
2025-06-06 15:37:02.103,4356.0,0,0,0,0,0,0,0,55
2025-06-06 15:37:04.179,0,68,-37,0,20.4,12,0,0,55
2025-06-06 15:37:04.732,0,68,-37,0,0,12,0,0,55
2025-06-06 15:37:08.729,3332.0,4,0,20.4,0,12,20.4,0.83,68
2025-06-06 15:37:09.894,0,52,0,20.4,0,12,20.4,0,52
2025-06-06 15:37:12.269,0,68,0,20.4,0,12,20.4,0,52
2025-06-06 15:37:13.257,0,68,0,20.4,1.2,12,0,13.33,0
