timestamp,escenario,rpm
2025-06-02 17:23:55,ralenti,978
2025-06-02 17:23:55,ralenti,978
2025-06-02 17:23:56,ralenti,981
2025-06-02 17:23:56,ralenti,976
2025-06-02 17:23:56,ralenti,986
2025-06-02 17:23:56,ralenti,985
2025-06-02 17:23:56,ralenti,961
2025-06-02 17:23:56,ralenti,958
2025-06-02 17:23:56,ralenti,976
2025-06-02 17:23:57,ralenti,975
2025-06-02 17:23:57,ralenti,964
2025-06-02 17:23:57,ralenti,947
2025-06-02 17:23:57,ralenti,971
2025-06-02 17:23:57,ralenti,968
2025-06-02 17:23:58,ralenti,958
2025-06-02 17:23:58,ralenti,957
2025-06-02 17:23:58,ralenti,966
2025-06-02 17:23:58,ralenti,983
2025-06-02 17:23:58,ralenti,975
2025-06-02 17:23:59,ralenti,960
2025-06-02 17:23:59,ralenti,942
2025-06-02 17:23:59,ralenti,950
2025-06-02 17:23:59,ralenti,949
2025-06-02 17:24:00,ralenti,941
2025-06-02 17:24:00,ralenti,950
2025-06-02 17:24:00,ralenti,957
2025-06-02 17:24:00,ralenti,947
2025-06-02 17:24:00,ralenti,935
2025-06-02 17:24:01,ralenti,925
2025-06-02 17:24:01,ralenti,941
2025-06-02 17:24:01,ralenti,920
2025-06-02 17:24:01,ralenti,915
2025-06-02 17:24:02,ralenti,934
2025-06-02 17:24:02,ralenti,921
2025-06-02 17:24:02,ralenti,926
2025-06-02 17:24:02,ralenti,927
2025-06-02 17:24:02,ralenti,917
2025-06-02 17:24:02,ralenti,909
2025-06-02 17:24:03,ralenti,896
2025-06-02 17:24:03,ralenti,920
2025-06-02 17:24:03,ralenti,902
2025-06-02 17:24:03,ralenti,900
2025-06-02 17:24:03,ralenti,910
2025-06-02 17:24:04,ralenti,915
2025-06-02 17:24:04,ralenti,908
2025-06-02 17:24:04,ralenti,888
2025-06-02 17:24:04,ralenti,909
2025-06-02 17:24:04,ralenti,905
2025-06-02 17:24:05,ralenti,901
2025-06-02 17:24:05,ralenti,903
2025-06-02 17:24:08,ralenti,857
2025-06-02 17:24:08,ralenti,859
2025-06-02 17:24:08,ralenti,860
2025-06-02 17:24:08,ralenti,840
2025-06-02 17:24:09,ralenti,848
2025-06-02 17:24:09,ralenti,836
2025-06-02 17:24:09,ralenti,846
2025-06-02 17:24:09,ralenti,827
2025-06-02 17:24:09,ralenti,831
2025-06-02 17:24:10,ralenti,800
2025-06-02 17:24:10,ralenti,818
2025-06-02 17:24:10,ralenti,799
2025-06-02 17:24:12,ralenti,811
2025-06-02 17:24:12,ralenti,801
2025-06-02 17:24:12,ralenti,781
2025-06-02 17:24:12,ralenti,797
2025-06-02 17:24:12,ralenti,774
2025-06-02 17:24:13,ralenti,785
2025-06-02 17:24:13,ralenti,747
2025-06-02 17:24:13,ralenti,746
2025-06-02 17:24:13,ralenti,759
2025-06-02 17:24:13,ralenti,747
2025-06-02 17:24:13,ralenti,763
2025-06-02 17:24:14,ralenti,740
2025-06-02 17:24:14,ralenti,741
2025-06-02 17:24:14,ralenti,745
2025-06-02 17:24:14,ralenti,733
2025-06-02 17:24:14,ralenti,743
2025-06-02 17:24:14,ralenti,752
2025-06-02 17:24:15,ralenti,764
2025-06-02 17:24:15,ralenti,741
2025-06-02 17:24:15,ralenti,743
2025-06-02 17:24:15,ralenti,735
2025-06-02 17:24:15,ralenti,727
2025-06-02 17:24:16,ralenti,724
2025-06-02 17:24:16,ralenti,715
2025-06-02 17:24:16,ralenti,734
2025-06-02 17:24:16,ralenti,746
2025-06-02 17:24:17,ralenti,726
2025-06-02 17:24:17,ralenti,726
2025-06-02 17:24:17,ralenti,719
2025-06-02 17:24:17,ralenti,692
2025-06-02 17:24:17,ralenti,723
2025-06-02 17:24:18,ralenti,746
2025-06-02 17:24:19,ralenti,737
2025-06-02 17:24:19,ralenti,705
2025-06-02 17:24:20,ralenti,698
2025-06-02 17:24:20,ralenti,712
2025-06-02 17:24:20,ralenti,713
2025-06-02 17:24:20,ralenti,695
2025-06-02 17:24:20,ralenti,711
2025-06-02 17:24:21,ralenti,712
2025-06-02 17:24:21,ralenti,699
2025-06-02 17:24:22,ralenti,719
2025-06-02 17:24:22,ralenti,705
2025-06-02 17:24:22,ralenti,725
2025-06-02 17:24:22,ralenti,708
2025-06-02 17:24:22,ralenti,708
2025-06-02 17:24:23,ralenti,686
2025-06-02 17:24:23,ralenti,719
2025-06-02 17:24:23,ralenti,690
2025-06-02 17:24:24,ralenti,705
2025-06-02 17:24:24,ralenti,717
2025-06-02 17:24:24,ralenti,704
2025-06-02 17:24:24,ralenti,688
2025-06-02 17:24:24,ralenti,718
2025-06-02 17:24:25,ralenti,727
2025-06-02 17:24:25,ralenti,689
2025-06-02 17:24:25,ralenti,719
2025-06-02 17:24:26,ralenti,701
2025-06-02 17:24:26,ralenti,716
2025-06-02 17:24:26,ralenti,708
2025-06-02 17:24:27,ralenti,688
2025-06-02 17:24:27,ralenti,712
2025-06-02 17:24:27,ralenti,712
2025-06-02 17:24:27,ralenti,712
2025-06-02 17:24:27,ralenti,704
2025-06-02 17:24:28,ralenti,719
2025-06-02 17:24:28,ralenti,702
2025-06-02 17:24:28,ralenti,708
2025-06-02 17:24:28,ralenti,717
2025-06-02 17:24:29,ralenti,705
2025-06-02 17:24:29,ralenti,703
2025-06-02 17:24:29,ralenti,738
2025-06-02 17:24:30,ralenti,713
2025-06-02 17:24:30,ralenti,715
2025-06-02 17:24:30,ralenti,709
2025-06-02 17:24:30,ralenti,703
2025-06-02 17:24:31,ralenti,719
2025-06-02 17:24:31,ralenti,712
2025-06-02 17:24:31,ralenti,705
2025-06-02 17:24:31,ralenti,724
2025-06-02 17:24:31,ralenti,717
2025-06-02 17:24:32,ralenti,703
2025-06-02 17:24:32,ralenti,709
2025-06-02 17:24:32,ralenti,718
2025-06-02 17:24:32,ralenti,696
2025-06-02 17:24:32,ralenti,709
2025-06-02 17:24:33,ralenti,727
2025-06-02 17:24:33,ralenti,705
2025-06-02 17:24:33,ralenti,722
2025-06-02 17:24:34,ralenti,707
2025-06-02 17:24:34,ralenti,701
2025-06-02 17:24:34,ralenti,714
2025-06-02 17:24:35,ralenti,695
2025-06-02 17:24:35,ralenti,707
2025-06-02 17:24:35,ralenti,723
2025-06-02 17:24:35,ralenti,702
2025-06-02 17:24:36,ralenti,715
2025-06-02 17:24:36,ralenti,721
2025-06-02 17:24:36,ralenti,704
2025-06-02 17:24:36,ralenti,702
2025-06-02 17:24:36,ralenti,708
2025-06-02 17:24:37,ralenti,719
2025-06-02 17:24:37,ralenti,704
2025-06-02 17:24:37,ralenti,721
2025-06-02 17:24:37,ralenti,718
