Timestamp,PID,Name,Value,Unit
2025-06-08 12:29:57.004,010C,RPM,830,RPM
2025-06-08 12:29:57.946,010C,RPM,829,RPM
2025-06-08 12:29:58.566,010F,Temp_Admision,-28,°C
2025-06-08 12:30:01.465,012F,Combustible,24.7,%
2025-06-08 12:30:16.986,PID_SELECTION,FAST,"['010C', '010D', '0105']",
2025-06-08 12:30:16.986,PID_SELECTION,SLOW,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Transmisión,Transmisión,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Motor,Motor,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Inyectores,Inyectores,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Encendido,Encendido,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Caja Transferencia y Diferencial,Caja Transferencia y Diferencial,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_ABS,ABS,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Sensores Chasis,Sensores Chasis,[],
2025-06-08 12:30:16.986,PID_SELECTION_EXT_Otros extendidos,Otros extendidos,[],
2025-06-08 12:30:38.619,010F,Temp_Admision,-27,°C
2025-06-08 12:30:39.656,010B,Presion_MAP,55,kPa
2025-06-08 12:30:41.260,010F,Temp_Admision,-28,°C
