Timestamp,PID,Name,Value,Unit
2025-06-07 15:52:30.749,PID_SELECTION,FAST,010C,
2025-06-07 15:52:30.749,PID_SELECTION,SLOW,010F,
2025-06-07 15:52:30.749,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:52:30.751,PID_SELECTION,FAST,010C,
2025-06-07 15:52:30.751,PID_SELECTION,SLOW,010F,
2025-06-07 15:52:30.751,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:52:31.583,010F,Temp_Admision,43,°C
2025-06-07 15:52:31.583,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:31.915,010C,RPM,0,RPM
2025-06-07 15:52:32.032,010C,RPM,0,RPM
2025-06-07 15:52:32.400,010F,Temp_Admision,43,°C
2025-06-07 15:52:32.400,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:32.512,010C,RPM,0,RPM
2025-06-07 15:52:32.742,010C,RPM,0,RPM
2025-06-07 15:52:32.952,010C,RPM,0,RPM
2025-06-07 15:52:33.326,010F,Temp_Admision,43,°C
2025-06-07 15:52:33.326,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:33.452,010C,RPM,0,RPM
2025-06-07 15:52:33.680,010C,RPM,0,RPM
2025-06-07 15:52:33.802,010C,RPM,0,RPM
2025-06-07 15:52:34.217,010F,Temp_Admision,43,°C
2025-06-07 15:52:34.217,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:34.310,010C,RPM,0,RPM
2025-06-07 15:52:34.520,010C,RPM,0,RPM
2025-06-07 15:52:34.739,010C,RPM,0,RPM
2025-06-07 15:52:34.939,010C,RPM,0,RPM
2025-06-07 15:52:35.273,010F,Temp_Admision,43,°C
2025-06-07 15:52:35.273,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:35.370,010C,RPM,0,RPM
2025-06-07 15:52:35.549,010C,RPM,0,RPM
2025-06-07 15:52:35.783,010C,RPM,0,RPM
2025-06-07 15:52:36.201,010F,Temp_Admision,43,°C
2025-06-07 15:52:36.201,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:36.281,010C,RPM,0,RPM
2025-06-07 15:52:36.359,010C,RPM,0,RPM
2025-06-07 15:52:36.563,010C,RPM,0,RPM
2025-06-07 15:52:36.833,010C,RPM,0,RPM
2025-06-07 15:52:37.675,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:38.410,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:39.278,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:40.186,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:41.672,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:52:42.210,221910,Trans Fluid Temp,Sin datos,C
