Timestamp,PID,Name,Value,Unit
2025-06-07 16:14:44.338,PID_SELECTION,FAST,010C,
2025-06-07 16:14:44.338,PID_SELECTION,SLOW,010B,
2025-06-07 16:14:44.338,PID_SELECTION,EXTENDED,2202A0,
2025-06-07 16:14:44.339,PID_SELECTION,FAST,010C,
2025-06-07 16:14:44.339,PID_SELECTION,SLOW,010B,
2025-06-07 16:14:44.339,PID_SELECTION,EXTENDED,2202A0,
2025-06-07 16:14:45.310,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:46.208,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:47.186,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:48.239,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:49.185,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:50.816,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:58.142,010C,RPM,697,RPM
2025-06-07 16:14:58.386,010C,RPM,702,RPM
2025-06-07 16:14:58.468,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:58.642,010C,RPM,681,RPM
2025-06-07 16:14:58.842,010C,RPM,681,RPM
2025-06-07 16:14:59.028,010C,RPM,683,RPM
2025-06-07 16:14:59.201,010C,RPM,690,RPM
2025-06-07 16:14:59.380,010C,RPM,686,RPM
2025-06-07 16:14:59.701,010B,Presion_MAP,28,kPa
2025-06-07 16:14:59.701,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:14:59.797,010C,RPM,690,RPM
2025-06-07 16:14:59.987,010C,RPM,692,RPM
2025-06-07 16:15:00.177,010C,RPM,683,RPM
2025-06-07 16:15:00.368,010C,RPM,692,RPM
2025-06-07 16:15:00.686,010B,Presion_MAP,28,kPa
2025-06-07 16:15:00.686,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:00.786,010C,RPM,700,RPM
2025-06-07 16:15:00.959,010C,RPM,690,RPM
2025-06-07 16:15:01.148,010C,RPM,679,RPM
2025-06-07 16:15:01.336,010C,RPM,688,RPM
2025-06-07 16:15:01.662,010B,Presion_MAP,29,kPa
2025-06-07 16:15:01.662,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:01.758,010C,RPM,696,RPM
2025-06-07 16:15:01.942,010C,RPM,694,RPM
2025-06-07 16:15:03.029,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:03.770,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:04.684,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:05.923,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:06.712,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:07.686,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:08.678,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:09.673,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:10.669,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:11.673,2202A0,Injector PW5,Sin datos,us
2025-06-07 16:15:12.674,2202A0,Injector PW5,Sin datos,us
