Timestamp,PID,Name,Value,Unit
2025-06-07 15:24:46.142,PID_SELECTION,FAST,010C,
2025-06-07 15:24:46.142,PID_SELECTION,SLOW,010F,
2025-06-07 15:24:46.142,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:24:46.143,PID_SELECTION,FAST,010C,
2025-06-07 15:24:46.143,PID_SELECTION,SLOW,010F,
2025-06-07 15:24:46.143,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:24:46.801,010C,RPM,1072,RPM
2025-06-07 15:24:47.053,010C,RPM,1070,RPM
2025-06-07 15:24:47.399,010F,Temp_Admision,46,°C
2025-06-07 15:24:47.399,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:47.517,010C,RPM,1056,RPM
2025-06-07 15:24:47.636,010C,RPM,1060,RPM
2025-06-07 15:24:47.819,010C,RPM,1063,RPM
2025-06-07 15:24:48.245,010F,Temp_Admision,45,°C
2025-06-07 15:24:48.245,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:48.357,010C,RPM,1053,RPM
2025-06-07 15:24:48.449,010C,RPM,1045,RPM
2025-06-07 15:24:48.639,010C,RPM,1041,RPM
2025-06-07 15:24:48.852,010C,RPM,1040,RPM
2025-06-07 15:24:49.225,010F,Temp_Admision,45,°C
2025-06-07 15:24:49.225,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:49.316,010C,RPM,1053,RPM
2025-06-07 15:24:49.529,010C,RPM,1021,RPM
2025-06-07 15:24:49.736,010C,RPM,1028,RPM
2025-06-07 15:24:49.951,010C,RPM,1021,RPM
2025-06-07 15:24:50.270,010F,Temp_Admision,45,°C
2025-06-07 15:24:50.270,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:50.349,010C,RPM,1032,RPM
2025-06-07 15:24:50.568,010C,RPM,1026,RPM
2025-06-07 15:24:50.767,010C,RPM,1017,RPM
2025-06-07 15:24:50.996,010C,RPM,1021,RPM
2025-06-07 15:24:51.303,010F,Temp_Admision,44,°C
2025-06-07 15:24:51.303,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:51.379,010C,RPM,1003,RPM
2025-06-07 15:24:51.479,010C,RPM,1008,RPM
2025-06-07 15:24:51.598,010C,RPM,1006,RPM
2025-06-07 15:24:51.789,010C,RPM,1014,RPM
2025-06-07 15:24:52.233,010F,Temp_Admision,44,°C
2025-06-07 15:24:52.233,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:52.318,010C,RPM,987,RPM
2025-06-07 15:24:52.398,010C,RPM,974,RPM
2025-06-07 15:24:52.589,010C,RPM,979,RPM
2025-06-07 15:24:52.787,010C,RPM,1004,RPM
2025-06-07 15:24:53.263,010F,Temp_Admision,44,°C
2025-06-07 15:24:53.263,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:53.339,010C,RPM,1003,RPM
2025-06-07 15:24:53.421,010C,RPM,1002,RPM
2025-06-07 15:24:53.607,010C,RPM,1003,RPM
2025-06-07 15:24:53.797,010C,RPM,973,RPM
2025-06-07 15:24:54.372,010F,Temp_Admision,44,°C
2025-06-07 15:24:54.372,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:54.453,010C,RPM,1002,RPM
2025-06-07 15:24:54.711,010C,RPM,1003,RPM
2025-06-07 15:24:54.849,010C,RPM,992,RPM
2025-06-07 15:24:55.211,010F,Temp_Admision,43,°C
2025-06-07 15:24:55.211,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:55.337,010C,RPM,972,RPM
2025-06-07 15:24:55.527,010C,RPM,961,RPM
2025-06-07 15:24:55.742,010C,RPM,992,RPM
2025-06-07 15:24:55.936,010C,RPM,987,RPM
2025-06-07 15:24:56.287,010F,Temp_Admision,43,°C
2025-06-07 15:24:56.287,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:56.380,010C,RPM,960,RPM
2025-06-07 15:24:56.587,010C,RPM,948,RPM
2025-06-07 15:24:56.796,010C,RPM,960,RPM
2025-06-07 15:24:57.231,010F,Temp_Admision,43,°C
2025-06-07 15:24:57.231,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:57.325,010C,RPM,976,RPM
2025-06-07 15:24:57.415,010C,RPM,969,RPM
2025-06-07 15:24:57.607,010C,RPM,956,RPM
2025-06-07 15:24:57.797,010C,RPM,955,RPM
2025-06-07 15:24:58.265,010F,Temp_Admision,43,°C
2025-06-07 15:24:58.265,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:58.347,010C,RPM,942,RPM
2025-06-07 15:24:58.447,010C,RPM,963,RPM
2025-06-07 15:24:58.637,010C,RPM,960,RPM
2025-06-07 15:24:58.829,010C,RPM,967,RPM
2025-06-07 15:24:59.244,010F,Temp_Admision,42,°C
2025-06-07 15:24:59.244,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:24:59.339,010C,RPM,951,RPM
2025-06-07 15:24:59.546,010C,RPM,939,RPM
2025-06-07 15:24:59.755,010C,RPM,927,RPM
2025-06-07 15:24:59.965,010C,RPM,929,RPM
2025-06-07 15:25:00.313,010F,Temp_Admision,42,°C
2025-06-07 15:25:00.313,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:25:00.397,010C,RPM,928,RPM
2025-06-07 15:25:00.595,010C,RPM,924,RPM
2025-06-07 15:25:00.797,010C,RPM,907,RPM
2025-06-07 15:25:01.235,010F,Temp_Admision,42,°C
2025-06-07 15:25:01.235,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:25:01.315,010C,RPM,912,RPM
2025-06-07 15:25:01.407,010C,RPM,928,RPM
2025-06-07 15:25:01.597,010C,RPM,915,RPM
2025-06-07 15:25:01.795,010C,RPM,928,RPM
2025-06-07 15:25:02.259,010F,Temp_Admision,42,°C
2025-06-07 15:25:02.259,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:25:02.347,010C,RPM,911,RPM
2025-06-07 15:25:02.437,010C,RPM,902,RPM
2025-06-07 15:25:02.627,010C,RPM,894,RPM
