Timestamp,PID,Name,Value,Unit
2025-06-07 16:10:29.207,PID_SELECTION,FAST,010C,
2025-06-07 16:10:29.207,PID_SELECTION,SLOW,010F,
2025-06-07 16:10:29.207,PID_SELECTION,EXTENDED,221134,
2025-06-07 16:10:29.208,PID_SELECTION,FAST,010C,
2025-06-07 16:10:29.208,PID_SELECTION,SLOW,010F,
2025-06-07 16:10:29.208,PID_SELECTION,EXTENDED,221134,
2025-06-07 16:10:35.391,010C,RPM,679,RPM
2025-06-07 16:10:35.651,010C,RPM,695,RPM
2025-06-07 16:10:35.767,010C,RPM,697,RPM
2025-06-07 16:10:36.147,010F,Temp_Admision,-40,°C
2025-06-07 16:10:36.147,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:36.289,010C,RPM,684,RPM
2025-06-07 16:10:36.502,010C,RPM,679,RPM
2025-06-07 16:10:36.707,010C,RPM,700,RPM
2025-06-07 16:10:36.921,010C,RPM,701,RPM
2025-06-07 16:10:37.257,010F,Temp_Admision,-40,°C
2025-06-07 16:10:37.257,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:37.349,010C,RPM,698,RPM
2025-06-07 16:10:37.569,010C,RPM,710,RPM
2025-06-07 16:10:37.767,010C,RPM,687,RPM
2025-06-07 16:10:38.244,010F,Temp_Admision,-40,°C
2025-06-07 16:10:38.244,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:38.347,010C,RPM,685,RPM
2025-06-07 16:10:38.459,010C,RPM,694,RPM
2025-06-07 16:10:38.645,010C,RPM,680,RPM
2025-06-07 16:10:38.836,010C,RPM,691,RPM
2025-06-07 16:10:39.370,010F,Temp_Admision,-40,°C
2025-06-07 16:10:39.370,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:39.457,010C,RPM,711,RPM
2025-06-07 16:10:39.663,010C,RPM,687,RPM
2025-06-07 16:10:39.875,010C,RPM,698,RPM
2025-06-07 16:10:40.306,010F,Temp_Admision,-40,°C
2025-06-07 16:10:40.306,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:40.395,010C,RPM,699,RPM
2025-06-07 16:10:41.492,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:42.253,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:43.775,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:44.247,221134,Battery Voltage,Sin datos,V
2025-06-07 16:10:45.309,221134,Battery Voltage,Sin datos,V
