Timestamp,PID,Name,Value,Unit
2025-06-07 11:31:49.302,010C,RPM,722,RPM
2025-06-07 11:31:50.178,010F,Temp_Admision,-29,°C
2025-06-07 11:31:50.178,012F,Combustible,14.9,%
2025-06-07 11:31:50.178,0142,Voltaje,14.2,V
2025-06-07 11:31:50.307,010C,RPM,727,RPM
2025-06-07 11:31:50.519,010C,RPM,731,RPM
2025-06-07 11:31:50.697,010C,RPM,729,RPM
2025-06-07 11:31:51.159,010F,Temp_Admision,29,°C
2025-06-07 11:31:51.159,012F,Combustible,14.9,%
2025-06-07 11:31:51.159,010B,Presion_MAP,55,kPa
2025-06-07 11:31:51.390,010C,RPM,731,RPM
2025-06-07 11:31:51.600,010C,RPM,735,RPM
2025-06-07 11:31:52.111,010F,Temp_Admision,-29,°C
2025-06-07 11:31:52.111,012F,Combustible,14.9,%
2025-06-07 11:31:52.111,0142,Voltaje,14.3,V
2025-06-07 11:31:52.111,010B,Presion_MAP,31,kPa
2025-06-07 11:31:52.203,010C,RPM,726,RPM
2025-06-07 11:31:52.415,010C,RPM,724,RPM
2025-06-07 11:31:52.625,010C,RPM,735,RPM
2025-06-07 11:31:53.111,010F,Temp_Admision,29,°C
2025-06-07 11:31:53.111,012F,Combustible,14.9,%
2025-06-07 11:31:53.111,0142,Voltaje,14.1,V
2025-06-07 11:31:53.111,010B,Presion_MAP,30,kPa
2025-06-07 11:31:53.213,010C,RPM,726,RPM
2025-06-07 11:31:53.425,010C,RPM,727,RPM
2025-06-07 11:31:53.637,010C,RPM,736,RPM
2025-06-07 11:31:54.111,010F,Temp_Admision,29,°C
2025-06-07 11:31:54.111,012F,Combustible,14.9,%
2025-06-07 11:31:54.111,0142,Voltaje,14.2,V
2025-06-07 11:31:54.111,010B,Presion_MAP,30,kPa
2025-06-07 11:31:54.211,010C,RPM,728,RPM
2025-06-07 11:31:54.426,010C,RPM,721,RPM
2025-06-07 11:31:54.655,010C,RPM,736,RPM
2025-06-07 11:31:55.126,010F,Temp_Admision,29,°C
2025-06-07 11:31:55.126,012F,Combustible,14.9,%
2025-06-07 11:31:55.126,0142,Voltaje,14.2,V
2025-06-07 11:31:55.126,010B,Presion_MAP,30,kPa
2025-06-07 11:31:55.213,010C,RPM,709,RPM
2025-06-07 11:31:55.425,010C,RPM,730,RPM
2025-06-07 11:31:55.631,010C,RPM,734,RPM
2025-06-07 11:31:56.112,010F,Temp_Admision,30,°C
2025-06-07 11:31:56.112,012F,Combustible,14.9,%
2025-06-07 11:31:56.112,0142,Voltaje,14.3,V
2025-06-07 11:31:56.112,010B,Presion_MAP,30,kPa
2025-06-07 11:31:56.211,010C,RPM,715,RPM
2025-06-07 11:31:56.431,010C,RPM,731,RPM
2025-06-07 11:31:56.643,010C,RPM,732,RPM
2025-06-07 11:31:57.110,010F,Temp_Admision,30,°C
2025-06-07 11:31:57.110,012F,Combustible,14.9,%
2025-06-07 11:31:57.110,0142,Voltaje,14.4,V
2025-06-07 11:31:57.110,010B,Presion_MAP,30,kPa
2025-06-07 11:31:57.213,010C,RPM,697,RPM
2025-06-07 11:31:57.411,010C,RPM,719,RPM
2025-06-07 11:31:57.631,010C,RPM,746,RPM
2025-06-07 11:31:58.112,010F,Temp_Admision,30,°C
2025-06-07 11:31:58.112,012F,Combustible,14.9,%
2025-06-07 11:31:58.112,0142,Voltaje,14.3,V
2025-06-07 11:31:58.112,010B,Presion_MAP,30,kPa
2025-06-07 11:31:58.211,010C,RPM,726,RPM
2025-06-07 11:31:58.429,010C,RPM,737,RPM
2025-06-07 11:31:58.633,010C,RPM,738,RPM
2025-06-07 11:31:59.112,010F,Temp_Admision,30,°C
2025-06-07 11:31:59.112,012F,Combustible,14.9,%
2025-06-07 11:31:59.112,0142,Voltaje,14.9,V
2025-06-07 11:31:59.112,010B,Presion_MAP,66,kPa
2025-06-07 11:31:59.221,010C,RPM,2071,RPM
2025-06-07 11:31:59.433,010C,RPM,2008,RPM
2025-06-07 11:31:59.643,010C,RPM,1734,RPM
2025-06-07 11:32:00.112,010F,Temp_Admision,30,°C
2025-06-07 11:32:00.112,012F,Combustible,14.9,%
2025-06-07 11:32:00.112,0142,Voltaje,14.2,V
2025-06-07 11:32:00.112,010B,Presion_MAP,22,kPa
2025-06-07 11:32:00.217,010C,RPM,1100,RPM
2025-06-07 11:32:00.435,010C,RPM,962,RPM
2025-06-07 11:32:00.633,010C,RPM,853,RPM
2025-06-07 11:32:01.111,010F,Temp_Admision,30,°C
2025-06-07 11:32:01.111,012F,Combustible,14.9,%
2025-06-07 11:32:01.111,0142,Voltaje,14.2,V
2025-06-07 11:32:01.111,010B,Presion_MAP,28,kPa
2025-06-07 11:32:01.213,010C,RPM,785,RPM
2025-06-07 11:32:01.433,010C,RPM,750,RPM
2025-06-07 11:32:01.635,010C,RPM,754,RPM
2025-06-07 11:32:02.111,010F,Temp_Admision,30,°C
2025-06-07 11:32:02.111,012F,Combustible,14.9,%
2025-06-07 11:32:02.111,0142,Voltaje,14.1,V
2025-06-07 11:32:02.111,010B,Presion_MAP,31,kPa
2025-06-07 11:32:02.215,010C,RPM,736,RPM
2025-06-07 11:32:02.435,010C,RPM,749,RPM
2025-06-07 11:32:02.640,010C,RPM,757,RPM
2025-06-07 11:32:03.111,010F,Temp_Admision,30,°C
2025-06-07 11:32:03.111,012F,Combustible,14.9,%
2025-06-07 11:32:03.111,0142,Voltaje,14.1,V
2025-06-07 11:32:03.111,010B,Presion_MAP,31,kPa
2025-06-07 11:32:03.205,010C,RPM,747,RPM
2025-06-07 11:32:03.411,010C,RPM,757,RPM
2025-06-07 11:32:03.623,010C,RPM,755,RPM
2025-06-07 11:32:04.110,010F,Temp_Admision,30,°C
2025-06-07 11:32:04.110,012F,Combustible,14.9,%
2025-06-07 11:32:04.110,0142,Voltaje,14.1,V
2025-06-07 11:32:04.110,010B,Presion_MAP,31,kPa
2025-06-07 11:32:04.215,010C,RPM,757,RPM
2025-06-07 11:32:04.421,010C,RPM,739,RPM
2025-06-07 11:32:04.641,010C,RPM,738,RPM
2025-06-07 11:32:05.110,010F,Temp_Admision,30,°C
2025-06-07 11:32:05.110,012F,Combustible,14.9,%
2025-06-07 11:32:05.110,0142,Voltaje,14.1,V
2025-06-07 11:32:05.110,010B,Presion_MAP,31,kPa
2025-06-07 11:32:05.203,010C,RPM,749,RPM
2025-06-07 11:32:05.411,010C,RPM,739,RPM
2025-06-07 11:32:05.622,010C,RPM,756,RPM
2025-06-07 11:32:06.111,010F,Temp_Admision,30,°C
2025-06-07 11:32:06.111,012F,Combustible,14.9,%
2025-06-07 11:32:06.111,0142,Voltaje,14.2,V
2025-06-07 11:32:06.111,010B,Presion_MAP,31,kPa
2025-06-07 11:32:06.215,010C,RPM,745,RPM
2025-06-07 11:32:06.421,010C,RPM,746,RPM
2025-06-07 11:32:06.633,010C,RPM,752,RPM
2025-06-07 11:32:07.110,010F,Temp_Admision,30,°C
2025-06-07 11:32:07.110,012F,Combustible,14.9,%
2025-06-07 11:32:07.110,0142,Voltaje,14.2,V
2025-06-07 11:32:07.110,010B,Presion_MAP,30,kPa
2025-06-07 11:32:07.211,010C,RPM,743,RPM
2025-06-07 11:32:07.431,010C,RPM,760,RPM
2025-06-07 11:32:07.629,010C,RPM,746,RPM
2025-06-07 11:32:08.112,010F,Temp_Admision,30,°C
