Timestamp,PID,Name,Value,Unit
2025-06-07 15:38:04.796,PID_SELECTION,FAST,010C,
2025-06-07 15:38:04.796,PID_SELECTION,SLOW,010F,
2025-06-07 15:38:04.796,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:38:04.797,PID_SELECTION,FAST,010C,
2025-06-07 15:38:04.797,PID_SELECTION,SLOW,010F,
2025-06-07 15:38:04.797,PID_SELECTION,EXTENDED,221910,
2025-06-07 15:38:05.393,010C,RPM,699,RPM
2025-06-07 15:38:05.647,010C,RPM,699,RPM
2025-06-07 15:38:05.986,010F,Temp_Admision,47,°C
2025-06-07 15:38:05.986,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:06.092,010C,RPM,700,RPM
2025-06-07 15:38:06.203,010C,RPM,692,RPM
2025-06-07 15:38:06.422,010C,RPM,692,RPM
2025-06-07 15:38:06.756,010F,Temp_Admision,47,°C
2025-06-07 15:38:06.756,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:06.886,010C,RPM,696,RPM
2025-06-07 15:38:07.053,010C,RPM,687,RPM
2025-06-07 15:38:07.238,010C,RPM,676,RPM
2025-06-07 15:38:07.428,010C,RPM,690,RPM
2025-06-07 15:38:07.754,010F,Temp_Admision,47,°C
2025-06-07 15:38:07.754,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:07.850,010C,RPM,712,RPM
2025-06-07 15:38:08.050,010C,RPM,707,RPM
2025-06-07 15:38:08.233,010C,RPM,696,RPM
2025-06-07 15:38:08.422,010C,RPM,676,RPM
2025-06-07 15:38:08.746,010F,Temp_Admision,47,°C
2025-06-07 15:38:08.746,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:08.828,010C,RPM,691,RPM
2025-06-07 15:38:09.026,010C,RPM,720,RPM
2025-06-07 15:38:09.216,010C,RPM,708,RPM
2025-06-07 15:38:09.408,010C,RPM,696,RPM
2025-06-07 15:38:09.722,010F,Temp_Admision,47,°C
2025-06-07 15:38:09.722,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:09.808,010C,RPM,692,RPM
2025-06-07 15:38:09.998,010C,RPM,672,RPM
2025-06-07 15:38:10.198,010C,RPM,682,RPM
2025-06-07 15:38:10.396,010C,RPM,706,RPM
2025-06-07 15:38:10.722,010F,Temp_Admision,48,°C
2025-06-07 15:38:10.722,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:10.806,010C,RPM,696,RPM
2025-06-07 15:38:11.019,010C,RPM,692,RPM
2025-06-07 15:38:11.196,010C,RPM,678,RPM
2025-06-07 15:38:11.398,010C,RPM,704,RPM
2025-06-07 15:38:11.736,010F,Temp_Admision,48,°C
2025-06-07 15:38:11.736,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:11.829,010C,RPM,698,RPM
2025-06-07 15:38:12.020,010C,RPM,691,RPM
2025-06-07 15:38:12.206,010C,RPM,672,RPM
2025-06-07 15:38:12.396,010C,RPM,689,RPM
2025-06-07 15:38:12.750,010F,Temp_Admision,48,°C
2025-06-07 15:38:12.750,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:12.839,010C,RPM,703,RPM
2025-06-07 15:38:13.031,010C,RPM,699,RPM
2025-06-07 15:38:13.217,010C,RPM,701,RPM
2025-06-07 15:38:13.406,010C,RPM,675,RPM
2025-06-07 15:38:13.726,010F,Temp_Admision,48,°C
2025-06-07 15:38:13.726,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:13.817,010C,RPM,678,RPM
2025-06-07 15:38:14.006,010C,RPM,692,RPM
2025-06-07 15:38:14.196,010C,RPM,688,RPM
2025-06-07 15:38:14.397,010C,RPM,676,RPM
2025-06-07 15:38:14.746,010F,Temp_Admision,48,°C
2025-06-07 15:38:14.746,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:14.840,010C,RPM,698,RPM
2025-06-07 15:38:15.029,010C,RPM,696,RPM
2025-06-07 15:38:15.220,010C,RPM,699,RPM
2025-06-07 15:38:15.407,010C,RPM,705,RPM
2025-06-07 15:38:15.727,010F,Temp_Admision,48,°C
2025-06-07 15:38:15.727,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:15.817,010C,RPM,703,RPM
2025-06-07 15:38:16.006,010C,RPM,683,RPM
2025-06-07 15:38:16.196,010C,RPM,689,RPM
2025-06-07 15:38:16.400,010C,RPM,662,RPM
2025-06-07 15:38:16.721,010F,Temp_Admision,48,°C
2025-06-07 15:38:16.721,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 15:38:16.809,010C,RPM,681,RPM
2025-06-07 15:38:17.003,010C,RPM,696,RPM
2025-06-07 15:38:17.198,010C,RPM,696,RPM
2025-06-07 15:38:17.397,010C,RPM,700,RPM
2025-06-07 15:38:17.731,010F,Temp_Admision,48,°C
2025-06-07 15:38:17.731,221910,Trans Fluid Temp,Sin datos,C
